,COUNTY,Year,Households_With_A_Personal_Computer_Yes,Households_With_A_Personal_Computer_No,Households_With_A_Personal_Computer_Not_Stated,Perc_Of_Households_With_A_Personal_Computer_Yes,Perc_Of_Households_With_A_Personal_Computer_No,Perc_Of_Households_With_A_Personal_Computer_Not_Stated,Households_With_Internet_Access_Broadband,Households_With_Internet_Access_Other_Connection,Households_With_Internet_Access_Not_Stated,Households_With_Internet_Access_Total,Perc_Of_Households_With_Internet_Access_Broadband,Perc_Of_Households_With_Internet_Access_Other_Connection,Perc_Of_Households_With_Internet_Access,Perc_Of_Households_With_Internet_Access_No_Access_To_Internet,Perc_Of_Households_With_Internet_Access_Not_Stated,Total_Households
0,Dublin,2006.0,254506.0,152235.0,12788.0,60.66469779204775,36.287121986799484,3.048180221152769,134923.0,81709.0,23951.0,216632.0,32.16058961359048,19.476365161883923,51.6369547754744,42.654023917297735,5.709021307227868,419529.0
1,Cork,2006.0,92841.0,69868.0,3833.0,55.74629823107684,41.952180230812644,2.3015215381105065,29671.0,47765.0,10091.0,77436.0,17.815926312882034,28.680452978828164,46.4963792917102,47.44448847738108,6.05913223090872,166542.0
2,Waterford,2006.0,20955.0,16580.0,909.0,54.50785558214546,43.127666215794406,2.3644782020601394,7615.0,9761.0,1292.0,17376.0,19.808032462803038,25.390177921132036,45.19821038393507,51.44105712204765,3.360732494017272,38444.0
3,Galway,2006.0,43474.0,32842.0,1890.0,55.58908523642687,41.994220392297265,2.4166943712758613,13364.0,22426.0,3464.0,35790.0,17.088202951180218,28.675549190599188,45.7637521417794,49.80692018515204,4.4293276730685625,78206.0
4,Limerick,2006.0,33748.0,28929.0,1279.0,52.767527675276746,45.232659953718176,1.999812371005066,10227.0,16783.0,1849.0,27010.0,15.99068109325161,26.241478516480083,42.23215960973169,54.876790293326664,2.8910500969416475,63956.0
5,Carlow,2006.0,9248.0,7424.0,402.0,54.164226309007844,43.48131662176409,2.354457069228066,2213.0,4916.0,1143.0,7129.0,12.961227597516691,28.792315801803912,41.753543399320606,51.552067471008556,6.694389129670844,17074.0
6,Kildare,2006.0,39134.0,20167.0,1277.0,64.60101026775396,33.2909637162006,2.1080260160454287,14385.0,18265.0,3057.0,32650.0,23.74624451120869,30.151210010234742,53.897454521443436,41.05615900161775,5.046386476938823,60578.0
7,Kilkenny,2006.0,16601.0,12273.0,604.0,56.31657507293575,41.63443924282515,2.0489856842390934,3919.0,9545.0,1731.0,13464.0,13.294660424723522,32.38008005970554,45.674740484429066,48.45308365560757,5.872175859963362,29478.0
8,Laois,2006.0,12008.0,9937.0,476.0,53.55693323223763,44.32005708933589,2.123009678426475,2671.0,6575.0,1377.0,9246.0,11.912938762767048,29.3251862093573,41.238124972124346,52.62031131528477,6.141563712590874,22421.0
9,Longford,2006.0,5778.0,5923.0,341.0,47.98206278026906,49.18618169739246,2.831755522338482,1189.0,3326.0,917.0,4515.0,9.873775120411892,27.61999667829264,37.493771798704536,54.8912140840392,7.615014117256269,12042.0
